env,demo_tag,arch,seed,n_params,noise_sigma,teacher_return,student_return,student_std,distill_efficiency,final_val_loss,train_time_s
halfcheetah_pomdp,teacher_1000000_noise00_50ep,gru,42,50886,0.0,1384.34716796875,-34.09138147030524,1.2332791543268948,-0.024626323699081538,0.05765479430556297,2.122229814529419
halfcheetah_pomdp,teacher_1000000_noise00_50ep,gru,123,50886,0.0,1384.34716796875,68.90583565210154,74.7289901610473,0.04977496775841782,0.05376457795500755,2.0796430110931396
halfcheetah_pomdp,teacher_1000000_noise00_50ep,gru,456,50886,0.0,1384.34716796875,301.0027173615588,333.6342041021958,0.217432970808341,0.06263882666826248,2.054732322692871
halfcheetah_pomdp,teacher_1000000_noise00_50ep,lstm,42,67526,0.0,1384.34716796875,418.8032788002048,491.88605818939504,0.3025276379296633,0.04872886836528778,2.1575357913970947
halfcheetah_pomdp,teacher_1000000_noise00_50ep,lstm,123,67526,0.0,1384.34716796875,613.4068337746172,426.83814974575176,0.44310188077653084,0.09174719452857971,2.1129579544067383
halfcheetah_pomdp,teacher_1000000_noise00_50ep,lstm,456,67526,0.0,1384.34716796875,872.558256871703,391.7162667228388,0.630303060576926,0.059440962970256805,2.1478264331817627
halfcheetah_pomdp,teacher_1000000_noise00_50ep,stu,42,338118,0.0,1384.34716796875,134.6193999374211,3.4467735715779004,0.09724395950110397,0.02799580991268158,15.943007230758667
halfcheetah_pomdp,teacher_1000000_noise00_50ep,stu,123,338118,0.0,1384.34716796875,306.349917350788,411.49239467630804,0.22129558570217228,0.028067944571375847,15.994643449783325
halfcheetah_pomdp,teacher_1000000_noise00_50ep,stu,456,338118,0.0,1384.34716796875,752.9284082187175,438.0339958782844,0.5438869856059936,0.027749447152018547,15.940706968307495
halfcheetah_pomdp,teacher_1000000_noise00_50ep,transformer,42,232006,0.0,1384.34716796875,-53.49426417276603,2.605853535302337,-0.038642231811878563,0.030585244297981262,6.504153490066528
halfcheetah_pomdp,teacher_1000000_noise00_50ep,transformer,123,232006,0.0,1384.34716796875,-27.493774203135665,2.6317512480233853,-0.019860461912510882,0.030628886073827744,6.436661958694458
halfcheetah_pomdp,teacher_1000000_noise00_50ep,transformer,456,232006,0.0,1384.34716796875,-62.17362981731618,1.6059247406014567,-0.044911877060826756,0.03160655498504639,6.441276550292969
halfcheetah_pomdp,teacher_1000000_noise00_200ep,gru,42,50886,0.0,1380.1287841796875,1138.4575844363853,511.7572768300469,0.824892283594429,0.02289006719365716,5.577676296234131
halfcheetah_pomdp,teacher_1000000_noise00_200ep,gru,123,50886,0.0,1380.1287841796875,597.8396778520446,582.8929083156513,0.4331767330013227,0.02258195634931326,5.529334545135498
halfcheetah_pomdp,teacher_1000000_noise00_200ep,gru,456,50886,0.0,1380.1287841796875,1011.1335217242917,525.388722916014,0.7326370794630467,0.023880066815763712,5.603245973587036
halfcheetah_pomdp,teacher_1000000_noise00_200ep,lstm,42,67526,0.0,1380.1287841796875,763.6659101811402,582.1315430344417,0.55332945659491,0.023941752966493368,5.652493715286255
halfcheetah_pomdp,teacher_1000000_noise00_200ep,lstm,123,67526,0.0,1380.1287841796875,869.8968430740008,525.1303919503011,0.63030121032585,0.02503134310245514,5.706987142562866
