env,demo_tag,arch,seed,n_params,noise_sigma,teacher_return,student_return,student_std,distill_efficiency,final_val_loss,train_time_s
ant_pomdp,teacher_2000000_noise00,gru,789,51336,0.0,438.8543701171875,1109.6693976737986,688.8771822419546,2.528559525059493,0.038348451256752014,5.276055574417114
ant_pomdp,teacher_2000000_noise00,gru,1337,51336,0.0,438.8543701171875,1180.6921503305014,755.1322260882494,2.6903962469719067,0.03516247123479843,5.735830068588257
ant_pomdp,teacher_2000000_noise00,lstm,789,67976,0.0,438.8543701171875,1112.6195747154034,536.6685758751671,2.5352819761560084,0.03797923525174459,5.859719753265381
ant_pomdp,teacher_2000000_noise00,lstm,1337,67976,0.0,438.8543701171875,1876.414821918636,701.8977986023812,4.275711829911996,0.037537626922130585,5.888213396072388
ant_pomdp,teacher_2000000_noise00,stu,789,338568,0.0,438.8543701171875,718.9900136763182,480.72000635855176,1.6383339500170089,0.029812270775437355,34.71346163749695
ant_pomdp,teacher_2000000_noise00,stu,1337,338568,0.0,438.8543701171875,534.233156570755,436.29057298948743,1.2173358474887659,0.029424778496225674,34.709275007247925
ant_pomdp,teacher_2000000_noise00,transformer,789,232456,0.0,438.8543701171875,659.7215854622202,595.1090543993777,1.5032813397438756,0.03880015139778455,15.523459196090698
ant_pomdp,teacher_2000000_noise00,transformer,1337,232456,0.0,438.8543701171875,637.6628742852038,644.3252903067865,1.4530170318571245,0.038613678266604744,15.638102531433105
ant_pomdp,teacher_200000_noise03,gru,789,51336,0.3,215.5786895751953,943.9064751426833,4.4897816939144635,4.378477654737957,0.10861128568649292,8.633660793304443
ant_pomdp,teacher_200000_noise03,gru,1337,51336,0.3,215.5786895751953,954.8061072723506,14.377631454047396,4.429037532206112,0.10846086442470551,8.009098052978516
ant_pomdp,teacher_200000_noise03,lstm,789,67976,0.3,215.5786895751953,939.7295152483339,4.253152603706988,4.359102085183377,0.10960444062948227,7.83812689781189
ant_pomdp,teacher_200000_noise03,lstm,1337,67976,0.3,215.5786895751953,946.4617959517884,3.6875366721539082,4.390330963681158,0.10971619635820389,8.857498168945312
ant_pomdp,teacher_200000_noise03,stu,789,338568,0.3,215.5786895751953,889.1667053339255,4.207013261212072,4.124557520439784,0.10990489572286606,55.512786626815796
ant_pomdp,teacher_200000_noise03,stu,1337,338568,0.3,215.5786895751953,903.1712676036798,10.74268425580903,4.189520167245694,0.10863882899284363,55.58176112174988
ant_pomdp,teacher_200000_noise03,transformer,789,232456,0.3,215.5786895751953,979.5005088952472,2.884321153563841,4.543586895464409,0.12214463651180267,29.16099786758423
ant_pomdp,teacher_200000_noise03,transformer,1337,232456,0.3,215.5786895751953,954.3394808914021,6.199108406327021,4.42687300294829,0.12158517390489579,24.52303695678711
ant_pomdp,teacher_2000000_noise03,gru,789,51336,0.3,210.45587158203125,1735.5298007130707,586.8463176296228,8.246525923305484,0.12364708445966244,7.727663278579712
ant_pomdp,teacher_2000000_noise03,gru,1337,51336,0.3,210.45587158203125,2246.61234370414,33.875554001379825,10.674980587692742,0.12213970720767975,7.625686883926392
ant_pomdp,teacher_2000000_noise03,lstm,789,67976,0.3,210.45587158203125,2078.534010445687,57.022596188925974,9.876341272025371,0.12661955878138542,7.032160520553589
ant_pomdp,teacher_2000000_noise03,lstm,1337,67976,0.3,210.45587158203125,1694.5704264908313,480.02014924380717,8.051903773235063,0.12692207098007202,6.9003143310546875
ant_pomdp,teacher_2000000_noise03,stu,789,338568,0.3,210.45587158203125,1214.838069506755,553.8028176652027,5.7724123369646,0.12187414802610874,49.4286994934082
ant_pomdp,teacher_2000000_noise03,stu,1337,338568,0.3,210.45587158203125,1464.228672539971,96.70690971624255,6.957414214833372,0.12160607054829597,48.899728775024414
ant_pomdp,teacher_2000000_noise03,transformer,789,232456,0.3,210.45587158203125,1057.1743732873974,32.913598320825486,5.023259105770937,0.1466119848191738,25.37543272972107
ant_pomdp,teacher_2000000_noise03,transformer,1337,232456,0.3,210.45587158203125,964.507930394637,93.34138278112582,4.582946168924977,0.1458936519920826,25.42559027671814
