env,demo_tag,arch,seed,n_params,noise_sigma,teacher_return,student_return,student_std,distill_efficiency,final_val_loss,train_time_s
halfcheetah_pomdp,teacher_1000000_noise00,gru,42,50886,0.0,1384.91259765625,1316.8087951646298,374.1159150535131,0.9508244761388731,0.014462586678564548,16.40950083732605
halfcheetah_pomdp,teacher_1000000_noise00,gru,123,50886,0.0,1384.91259765625,1437.8443611779032,30.22095269857326,1.0382202917434877,0.014007377345114947,16.697210788726807
halfcheetah_pomdp,teacher_1000000_noise00,gru,456,50886,0.0,1384.91259765625,1447.0703820760714,40.062957985088474,1.0448820990761538,0.014659747760742903,16.494598388671875
halfcheetah_pomdp,teacher_1000000_noise00,lstm,42,67526,0.0,1384.91259765625,1398.0997682349898,193.79646772088293,1.0095220237010314,0.01562527734786272,16.86901068687439
halfcheetah_pomdp,teacher_1000000_noise00,lstm,123,67526,0.0,1384.91259765625,1435.7744660057674,36.512183586417585,1.0367256882749087,0.016002349834889174,16.819195985794067
halfcheetah_pomdp,teacher_1000000_noise00,lstm,456,67526,0.0,1384.91259765625,1243.6105506266395,398.35147656694767,0.8979704226326323,0.015238459780812263,16.690688848495483
halfcheetah_pomdp,teacher_1000000_noise00,stu,42,338118,0.0,1384.91259765625,1087.5315529389322,403.0768418771989,0.7852708934696752,0.010879609733819962,131.5880162715912
halfcheetah_pomdp,teacher_1000000_noise00,stu,123,338118,0.0,1384.91259765625,1217.0928144564211,432.0512641433573,0.8788228343912549,0.011230186559259892,131.56660056114197
halfcheetah_pomdp,teacher_1000000_noise00,stu,456,338118,0.0,1384.91259765625,952.3781659890417,587.7240073280624,0.6876810620401563,0.01105634868144989,131.47831773757935
halfcheetah_pomdp,teacher_1000000_noise00,transformer,42,232006,0.0,1384.91259765625,1209.068220641278,369.4718047828951,0.8730285381817153,0.01591708492487669,56.010831117630005
halfcheetah_pomdp,teacher_1000000_noise00,transformer,123,232006,0.0,1384.91259765625,1264.3594704659881,397.0068936970341,0.9129525376588534,0.01635174322873354,56.444175243377686
halfcheetah_pomdp,teacher_1000000_noise00,transformer,456,232006,0.0,1384.91259765625,1261.6753145326745,321.12957467740085,0.9110143966253643,0.016143537405878306,56.20218062400818
halfcheetah_pomdp,teacher_1000000_noise03,gru,42,50886,0.3,737.8777465820312,788.640049036381,479.7985774571993,1.0687950039006988,0.09623531326651573,16.512850284576416
halfcheetah_pomdp,teacher_1000000_noise03,gru,123,50886,0.3,737.8777465820312,829.0696322097308,455.92751480796,1.12358671344964,0.09567945301532746,16.04372811317444
halfcheetah_pomdp,teacher_1000000_noise03,gru,456,50886,0.3,737.8777465820312,638.0765156860205,495.58350508339873,0.8647455742386781,0.0961019054055214,16.034634351730347
halfcheetah_pomdp,teacher_1000000_noise03,lstm,42,67526,0.3,737.8777465820312,867.5738778108141,440.0669047637132,1.1757691322574184,0.09843543097376824,16.196590423583984
halfcheetah_pomdp,teacher_1000000_noise03,lstm,123,67526,0.3,737.8777465820312,1080.6680091826856,379.65374979857177,1.4645624077816606,0.09977713599801064,16.560936450958252
halfcheetah_pomdp,teacher_1000000_noise03,lstm,456,67526,0.3,737.8777465820312,1075.034216643579,360.70961898508426,1.4569272777547646,0.09927766248583794,15.916112422943115
halfcheetah_pomdp,teacher_1000000_noise03,stu,42,338118,0.3,737.8777465820312,1175.7410897459308,249.24879670866076,1.59340906429575,0.09278543815016746,131.45126676559448
halfcheetah_pomdp,teacher_1000000_noise03,stu,123,338118,0.3,737.8777465820312,1202.1280274708217,87.43006525297923,1.629169646380139,0.09292849153280258,131.47827315330505
halfcheetah_pomdp,teacher_1000000_noise03,stu,456,338118,0.3,737.8777465820312,1196.3416560264745,241.00989480926415,1.6213277356149065,0.09230109229683876,131.53140950202942
halfcheetah_pomdp,teacher_1000000_noise03,transformer,42,232006,0.3,737.8777465820312,1005.1397892084885,397.62099309629997,1.3622036900617456,0.1336105078458786,56.22340488433838
halfcheetah_pomdp,teacher_1000000_noise03,transformer,123,232006,0.3,737.8777465820312,958.8200370131705,379.4121378497636,1.2994293993206592,0.1317597210407257,59.26665115356445
halfcheetah_pomdp,teacher_1000000_noise03,transformer,456,232006,0.3,737.8777465820312,1119.6112701030984,297.6215412073018,1.5173397968556694,0.13445058912038804,55.994306802749634
halfcheetah_pomdp,teacher_2000000_noise00,gru,42,50886,0.0,1378.299560546875,944.5041791117726,535.5720912118227,0.685267706779952,0.023521275818347932,16.064674139022827
halfcheetah_pomdp,teacher_2000000_noise00,gru,123,50886,0.0,1378.299560546875,1349.8187951805864,90.91595035122107,0.9793363023673982,0.02347128726541996,16.170645236968994
